question,category
"Some people think that the government is wasting money on the arts and that this money could be better spent elsewhere.

To what extent do you agree

 with this view? (frequently repeated topic) ",Art
"Many people think that museums and galleries should only show work from local artists rather than work from other countries. Do you agree?

 (2021,2022)   ",Art
"Art is considered an essential part of all cultures throughout the world. However, these days fewer and fewer people appreciate art and turn their focus to science, technology and business.


Why do you think that is?What could be done to encourage more people to take interest in the arts?

 (2020)   

",Art
"Some people think that art is an essential subject for children at school while others think it is a waste of time.


Discuss both sides and give your opinion. (2018, 2019, 2021)",Art
"Artists need a certain amount of freedom to develop their creativity. Some people think that artists should have total freedom to express any thoughts and ideas.

To what extent do you agree or disagree?

 (repeated most years)",Art
"Most artists earn low salaries and should therefore receive funding from the government in order for them to continue with their work.

To what extent do you agree? (repeated most years)",Art
"In some countries, a few people earn extremely high salaries. Some people think that this is good for a country, while others believe that the government should control salaries and limit the amount people can
earn.
Discuss both views and give your opinion. (Reported 2017, 2019, 2020,
2022 Academic Test)",Business & Money
"More and more business meetings are taking place online. What are the advantages and disadvantages of this trend? (reported 2021, 2022, 2023)",Business & Money
"Due to the development and rapid expansion of supermarkets in some countries, many small, local business are unable to compete. Some people think that the closure of local business will bring about the death of local communities.
To what extent do you agree or disagree? (repeated most years",Business & Money
"Companies should provide sports and social facilities for local communities.
To what extent do you agree? (Reported 2017, 2021)",Business & Money
"If the product is good and meets consumer needs than advertising is unnecessary.
To what extent do you agree? (2023)",Business & Money
"Large businesses have big budgets for marketing and promotion and as a result, people gravitate towards buying their products.
What problems does this cause?
What could be done to encourage people to buy local products? (2016,
2020, 2022)",Business & Money
"Some countries encourage foreign companies to open in their country.
Many people think that the government should focus on encouraging local business rather than foreign businesses.
To what extent do you agree? (reported 2021, 2023)",Business & Money
"An increasing number of people are buying what they need online.
What are the advantages and disadvantages for both individuals and companies to shopping online? (repeated most years)",Business & Money
"Marketing and promotion is the key to a successful business.
To what extent do you agree? (repeated frequently)",Business & Money
"The performance of staff can have a significant impact on the success of a company.
What can companies do to increase staff productivity?
(this question is repeated but often with a different focus, for example
""Marketing has the most significant impact on the success of a company"". This question offers marketing rather than staff productivity as the most important aspect of success.",Business & Money
"Some companies have uniforms for their staff which must be worn at all times.
What are the advantages for a company of having a uniform?
Are there any benefits of having a uniform for the staff? (repeated most years)",Business & Money
